un,condition,vis,totalTime,visTime,hoverCount,clickCount,brushCount
333,story,gun-deaths,294.865,25.595,0,0,0
342,story,carbon-clock,182.509,165.889,311,0,0
343,int,carbon-clock,158.957,103.911,82,4,1274
343,int,carbon-clock,17.204,10.913,24,0,0
338,story,measles,336.321,149.664,0,0,0
346,story,gun-deaths,213.435,19.396,0,0,0
354,story,measles,113.544,89.74,0,0,0
351,int,us-healthcare,146.781,24.699,4,8,0
345,all,gun-deaths,309.428,18.636,0,12,0
339,int,measles,262.488,111.504,1,0,0
360,none,carbon-clock,62.734,0.053,0,0,0
347,int,gun-deaths,381.052,1.102,0,31,0
364,none,gun-deaths,15.282,0,0,0,0
352,none,us-healthcare,178.666,0.386,0,0,0
357,all,carbon-clock,174.497,159.558,289,0,0
363,int,gun-deaths,113.658,0,0,12,0
365,all,us-healthcare,153.984,7.885,1,10,0
356,none,measles,191.473,86.771,0,0,0
336,none,us-healthcare,566.21,0.257,0,0,0
368,none,us-healthcare,122.047,54.383,0,0,0
366,story,us-healthcare,210.657,30.496,13,0,0
359,int,carbon-clock,329.421,259.79,2123,7,407
369,all,measles,236.594,150.934,0,4,0
372,none,measles,125.537,92.799,0,0,0
374,story,carbon-clock,95.454,95.249,1,0,0
376,none,carbon-clock,25.962,0,0,0,0
349,all,us-healthcare,623.447,386.298,165,3,0
379,int,gun-deaths,25.824,2.017,0,0,0
375,int,carbon-clock,196.269,27.726,34,10,91
373,all,carbon-clock,163.231,121.047,1593,4,10
382,story,us-healthcare,63.626,7.175,7,0,0
380,none,gun-deaths,223.315,219.105,0,0,0
381,all,us-healthcare,285.938,52.886,61,0,0
386,story,gun-deaths,160.684,150.248,0,0,0
384,none,carbon-clock,205.277,0,0,0,0
385,all,gun-deaths,144.866,0,0,5,0
362,story,gun-deaths,877.675,572.243,0,0,0
385,all,gun-deaths,8.988,0,0,0,0
388,none,gun-deaths,13.687,9.185,0,0,0
390,story,us-healthcare,122.682,36.522,5,0,0
391,int,us-healthcare,151.165,68.374,75,7,0
395,int,measles,26.724,9.504,1,2,0
392,none,us-healthcare,273.497,234.544,0,0,0
400,none,carbon-clock,36.089,29.037,0,0,0
399,int,carbon-clock,60.572,30.927,35,6,345
404,none,gun-deaths,42.12,40.943,0,0,0
397,all,carbon-clock,379.508,215.468,5136,2,340
402,story,gun-deaths,292.706,5.905,0,0,0
406,story,us-healthcare,131.037,113.792,0,0,0
408,none,us-healthcare,74.161,48.999,0,0,0
411,int,measles,75.881,52.642,1,6,0
417,all,gun-deaths,52.492,0,0,0,0
414,story,carbon-clock,97.897,95.01,9,0,0
409,all,measles,113.184,0.998,0,0,0
405,all,us-healthcare,73.695,2.652,3,23,0
407,int,us-healthcare,308.356,141.748,69,17,0
420,none,gun-deaths,112.945,9.989,0,0,0
413,all,carbon-clock,327.934,53.54,514,1,512
430,story,carbon-clock,22.007,8.794,291,0,0
427,int,measles,79.036,45.652,1,1,0
416,none,carbon-clock,339.995,265.059,0,0,0
424,none,us-healthcare,188.784,1.753,0,0,0
428,none,measles,124.092,47.849,0,0,0
436,none,carbon-clock,23.433,0.483,0,0,0
433,all,carbon-clock,75.585,55.259,148,3,6
